"author","title","yearFirstPublished","mostReadRank2","mostReadRank","mostPopularRank","mostPopularRank2","numRatings","numRatingsAbbrev","numReviews","numReviewsAbbrev","averageRating","whichListCategory","book_id_title","numPages","ratingDistribution","original_language","gender","race (from perspective of U.S. racial logics)","author_nationality","AP_English_Recommended","Top College Syllabi","isbn","isbn13","book_cover"
"Agatha Christie","Death on the Nile",1937,52,52,"False",,99720,"100k",3896,"4k",4.1,"Most Read","131359.Death_on_the_Nile",214,"[35460, 41665, 19906, 2327, 362]","English","Woman","White","British",,,7119321,9780007815531,"https://images-na.ssl-images-amazon.com/images/I/71rrX1CZRlL.jpg"
"Zora Neale Hurston","Their Eyes Were Watching God",1937,66,66,"False",,235193,"235k",11661,"12k",3.9,"Most Read","37415.Their_Eyes_Were_Watching_God",219,"[78506, 83339, 51419, 15718, 6211]","English","Woman","Black","American","AP English Recommended Author","Top 200 College English Syllabi Author",60931418,9780060931414,"http://covers.openlibrary.org/b/isbn/9780060931414-M.jpg"
"Daphne du Maurier","Rebecca",1938,54,54,54,54,398003,"398k",19878,"20k",4.22,"Most Shelved and Most Read","17899948-rebecca",449,"[187297, 135336, 57297, 12734, 5339]","English","Woman","White","British",,,1844080382,9781844080380,"http://covers.openlibrary.org/b/isbn/9781844080380-M.jpg"
"Kathrine Kressmann Taylor","Address Unknown",1938,99,99,"False",,5737,"6k",833,833,4.18,"Most Read","114437.Address_Unknown",64,"[2443, 2153, 915, 183, 43]","English","Woman","White","American",,,9647948522,9782013224017,"https://images-na.ssl-images-amazon.com/images/I/51tAWJt6vvL.jpg"
"Agatha Christie","And Then There Were None",1939,10,10,"False",,666849,"667k",26342,"26k",4.25,"Most Read","16299.And_Then_There_Were_None",264,"[325838, 222163, 90821, 18034, 9993]","English","Woman","White","British",,,62073486,9780062073488,"http://books.google.com/books/content?id=4EBHUjNLuyIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"John Steinbeck","The Grapes of Wrath",1939,92,92,39,39,676785,"677k",15411,"15k",3.95,"Most Shelved and Most Read","18114322-the-grapes-of-wrath",479,"[269662, 209653, 122124, 47328, 28018]","English","Man","White","American",,"Top 200 College English Syllabi Author",143039431,9780143039433,"http://books.google.com/books/content?id=dM_-DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Albert Camus","The Stranger",1942,19,19,64,64,609739,"610k",19637,"20k",3.97,"Most Shelved and Most Read","49552.The_Stranger",123,"[217365, 220369, 123268, 35368, 13369]","French","Man","White","French",,"Top 200 College English Syllabi Author",2070360024,9782070360024,"http://books.google.com/books/content?id=o1goAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"Stefan Zweig","Chess Story",1942,37,37,"False",,53459,"53k",3688,"4k",4.29,"Most Read","59151.Chess_Story",104,"[25077, 20556, 6550, 987, 289]","German","Man","White","Austrian",,,9755103554,9789755103556,"https://images-na.ssl-images-amazon.com/images/I/81uY6v33adL.jpg"
"Antoine de Saint-Exupéry","The Little Prince",1943,7,7,40,40,1137905,"1M",33184,"33k",4.3,"Most Shelved and Most Read","157993.The_Little_Prince",93,"[632787, 297179, 145251, 42460, 20228]","French","Man","White","French",,,156013924,9780156013925,"http://books.google.com/books/content?id=ye227UI0dTIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Betty Smith","A Tree Grows in Brooklyn",1943,,"False",92,92,359730,"360k",18884,"19k",4.26,"Most Shelved","14891.A_Tree_Grows_in_Brooklyn",496,"[176151, 119332, 49012, 10843, 4392]","English","Woman","White","American",,,60736267,9780060736262,"http://books.google.com/books/content?id=thbHjzJpzMUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"George Orwell","Animal Farm",1945,2,2,8,8,2407884,"2M",47471,"47k",3.92,"Most Shelved and Most Read","170448.Animal_Farm",141,"[836836, 846352, 496647, 151762, 76287]","English","Man","White","British","AP English Recommended Author","Top 200 College English Syllabi Author",452284244,9780452284241,"http://covers.openlibrary.org/b/isbn/9780452284241-M.jpg"
"John Steinbeck","The Pearl",1945,70,70,"False",,173042,"173k",7650,"8k",3.45,"Most Read","5308.The_Pearl",96,"[31649, 55271, 55907, 20481, 9734]","English","Man","White","American",,"Top 200 College English Syllabi Author",8431634790,9780140177374,"http://covers.openlibrary.org/b/isbn/9780140177374-M.jpg"
"Anne Frank","The Diary of a Young Girl",1947,31,31,37,37,2451551,"2M",25637,"26k",4.13,"Most Shelved and Most Read","48855.The_Diary_of_a_Young_Girl",283,"[1104405, 779250, 406625, 104772, 56499]","Dutch","Man","White","German-Dutch",,,330107372,9780330107372,"http://books.google.com/books/content?id=pdXOghTIc18C&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"George Orwell",1984,1949,4,4,5,5,2678662,"3M",59674,"60k",4.17,"Most Shelved and Most Read","40961427-1984",237,"[1235175, 884824, 398211, 106404, 54048]","English","Man","White","British","AP English Recommended Author","Top 200 College English Syllabi Author",141036141,9780141036144,"https://m.media-amazon.com/images/I/41E9Z5XaHcL.jpg"
"C.S. Lewis","The Lion, the Witch and the Wardrobe",1950,23,23,63,63,1928778,"2M",18990,"19k",4.21,"Most Shelved and Most Read","100915.The_Lion_the_Witch_and_the_Wardrobe",206,"[917152, 613960, 307221, 65711, 24734]","English","Man","White","British",,,64471047,9780064471046,"http://books.google.com/books/content?id=NRu_lruFlXEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"J.D. Salinger","The Catcher in the Rye",1951,17,17,7,7,2473076,"2M",52078,"52k",3.8,"Most Shelved and Most Read","5107.The_Catcher_in_the_Rye",277,"[838610, 767556, 526075, 214375, 126460]","English","Man","White","American",,,316769487,9780316769488,"http://books.google.com/books/content?id=ZotvleqZomIC&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"C.S. Lewis","Prince Caspian",1951,68,68,"False",,314959,"315k",6049,"6k",3.97,"Most Read","121749.Prince_Caspian",240,"[104131, 117270, 77126, 13704, 2728]","English","Man","White","British",,"Top 200 College English Syllabi Author",20442408,9780020442400,"https://images-na.ssl-images-amazon.com/images/I/41ULHT5a6ZL._SY445_QL70_ML2_.jpg"
"Ernest Hemingway","The Old Man and the Sea",1952,9,9,36,36,725974,"726k",21684,"22k",3.76,"Most Shelved and Most Read","2165.The_Old_Man_and_the_Sea",132,"[223463, 236763, 168228, 63299, 34221]","English","Man","White","American","AP English Recommended Author","Top 200 College English Syllabi Author",99908409,9780099908401,"http://books.google.com/books/content?id=t-Dc3s218bsC&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"E.B. White","Charlotte's Web",1952,78,78,86,86,1278922,"1M",16071,"16k",4.16,"Most Shelved and Most Read","24178.Charlotte_s_Web",184,"[591379, 399643, 217079, 47657, 23164]","English","Man","White","American",,,64400557,9780064400558,"http://books.google.com/books/content?id=7NEul8arWTMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"John Steinbeck","East of Eden",1952,90,90,62,62,391324,"391k",17332,"17k",4.37,"Most Shelved and Most Read","4406.East_of_Eden",601,"[222771, 110053, 43408, 10476, 4616]","English","Man","White","American",,"Top 200 College English Syllabi Author",142004235,9780142004234,"http://books.google.com/books/content?id=HvQ8g9JdafAC&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"Ray Bradbury","Fahrenheit 451",1953,5,5,18,18,1459387,"1M",41581,"42k",3.98,"Most Shelved and Most Read","13079982-fahrenheit-451",194,"[526970, 528465, 290567, 78906, 34479]","English","Man","White","American",,,307347974,9780307347978,"http://books.google.com/books/content?id=4cZBRwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"Arthur Miller","The Crucible",1953,,"False",76,76,295964,"296k",6773,"7k",3.57,"Most Shelved","17250.The_Crucible",143,"[61999, 98425, 92327, 32886, 10327]","English","Man","White","American","AP English Recommended Author","Top 200 College English Syllabi Author",140481389,9780140481389,"http://books.google.com/books/content?id=Moio5nt1FB8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"J.R.R. Tolkien","The Fellowship of the Ring",1954,35,35,59,59,2138793,"2M",19166,"19k",4.35,"Most Shelved and Most Read","34.The_Fellowship_of_the_Ring",398,"[1239602, 566750, 226918, 62429, 43094]","English","Man","White","British",,,547928211,9780345015339,"https://covers.openlibrary.org/b/id/8177409-M.jpg"
"C.S. Lewis","The Horse and His Boy",1954,60,60,"False",,245379,"245k",6341,"6k",3.91,"Most Read","84119.The_Horse_and_His_Boy",224,"[83468, 79832, 63037, 15710, 3332]","English","Man","White","British",,"Top 200 College English Syllabi Author",64471063,9780064471060,"http://covers.openlibrary.org/b/isbn/9780064471060-M.jpg"
"Richard Matheson","I Am Legend",1954,91,91,"False",,81168,"81k",5105,"5k",4.06,"Most Read","40940649-i-am-legend",162,"[28944, 33111, 15287, 3092, 734]","English","Man","White","American",,,1857988094,9781857988093,"http://covers.openlibrary.org/b/isbn/9781857988093-M.jpg"
"William Golding","Lord of the Flies",1954,,"False",10,10,2042779,"2M",33336,"33k",3.67,"Most Shelved","7624.Lord_of_the_Flies",182,"[547342, 688846, 506351, 189093, 111147]","English","Man","White","British",,,399501487,9780399501487,"http://books.google.com/books/content?id=3C-4dsIGlEgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"J.R.R. Tolkien","The Two Towers",1954,,"False",93,93,637259,"637k",8947,"9k",4.44,"Most Shelved","15241.The_Two_Towers",322,"[376274, 182822, 62899, 11630, 3634]","English","Man","White","British",,"Top 200 College English Syllabi Author",618002235,9780618002238,"http://books.google.com/books/content?id=Bv6FxN76KeQC&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"C.S. Lewis","The Magician's Nephew",1955,32,32,"False",,363973,"364k",11215,"11k",4.03,"Most Read","65605.The_Magician_s_Nephew",221,"[137309, 126035, 80109, 16680, 3840]","English","Man","White","British",,,64471101,9780064471107,"http://books.google.com/books/content?id=qmPACx9yEEkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"J.R.R. Tolkien","The Return of the King",1955,80,80,99,99,603807,"604k",8478,"8k",4.52,"Most Shelved and Most Read","18512.The_Return_of_the_King",490,"[391767, 151789, 48123, 8971, 3157]","English","Man","White","British",,"Top 200 College English Syllabi Author",345240340,9780345240347,"https://images-na.ssl-images-amazon.com/images/I/51MlPWDaXGL.jpg"
"Vladimir Nabokov","Lolita",1955,,"False",48,48,603255,"603k",21982,"22k",3.89,"Most Shelved","7604.Lolita",417,"[216060, 194600, 125621, 42878, 24096]","English","Man","White","Russian-American","AP English Recommended Author","Top 200 College English Syllabi Author",679723161,9780679723165,"http://books.google.com/books/content?id=WfCKDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Truman Capote","Breakfast at Tiffany's",1958,58,58,"False",,196046,"196k",9427,"9k",3.89,"Most Read","251688.Breakfast_at_Tiffany_s",142,"[56602, 77011, 49407, 10515, 2511]","English","Man","White","American",,,140274111,9780679600855,"http://covers.openlibrary.org/b/isbn/9780679600855-M.jpg"
"Chinua Achebe","Things Fall Apart",1959,56,56,"False",,257817,"258k",12455,"12k",3.65,"Most Read","37781.Things_Fall_Apart",209,"[60928, 91317, 69855, 25110, 10607]","English","Man","Black","Nigerian","AP English Recommended Author","Top 200 College English Syllabi Author",385667833,9780385667838,"http://books.google.com/books/content?id=Gbs7PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"Harper Lee","To Kill a Mockingbird",1960,,"False",2,2,4027181,"4M",83760,"84k",4.27,"Most Shelved","2657.To_Kill_a_Mockingbird",324,"[2098708, 1198294, 521237, 136843, 72099]","English","Woman","White","American",,,1439550417,9781439550410,"http://books.google.com/books/content?id=DXOePwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"Joseph Heller","Catch-22",1961,,"False",52,52,675293,"675k",16672,"17k",3.98,"Most Shelved","168668.Catch_22",453,"[269757, 215348, 122101, 43965, 24122]","English","Man","White","American",,,99477319,9780099477310,"http://books.google.com/books/content?id=uciYmbP_JV0C&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"Philip K. Dick","The Man in the High Castle",1962,62,62,"False",,149357,"149k",10351,"10k",3.62,"Most Read","216363.The_Man_in_the_High_Castle",259,"[31374, 53953, 44814, 14972, 4244]","English","Man","White","American",,,547572484,9780547572482,"https://images-na.ssl-images-amazon.com/images/I/41PRCALl6aL._SX328_BO1,204,203,200_.jpg"
"Ken Kesey","One Flew Over the Cuckoo's Nest",1962,,"False",70,70,584263,"584k",9769,"10k",4.19,"Most Shelved","332613.One_Flew_Over_the_Cuckoo_s_Nest",325,"[255743, 216305, 87368, 18116, 6731]","English","Man","White","American",,,141181222,9780141181226,"http://books.google.com/books/content?id=j6NsKmZbk58C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Anthony Burgess","A Clockwork Orange",1962,,"False",80,80,545903,"546k",12298,"12k",3.99,"Most Shelved","41817486-a-clockwork-orange",240,"[203877, 196367, 99605, 28718, 17336]","English","Man","White","British",,,393312836,9780393312836,"http://books.google.com/books/content?id=SKp0BqzoaP8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Sylvia Plath","The Bell Jar",1963,,"False",57,57,530574,"531k",20194,"20k",4,"Most Shelved","6514.The_Bell_Jar",294,"[190643, 194733, 107689, 27832, 9677]","English","Woman","White","American","AP English Recommended Author","Top 200 College English Syllabi Author",60837020,9780060837020,"http://books.google.com/books/content?id=cZpR_0kN9gEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Frank Herbert","Dune",1965,44,44,"False",,635812,"636k",17349,"17k",4.22,"Most Read","44767458-dune",688,"[321964, 186180, 86618, 26196, 14854]","English","Man","White","American",,,340839937,9780340839935,"http://books.google.com/books/content?id=yldYPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"Truman Capote","In Cold Blood",1965,75,75,"False",,475850,"476k",14777,"15k",4.07,"Most Read","168642.In_Cold_Blood",343,"[191095, 170702, 81207, 20486, 12360]","English","Man","White","American",,,141182571,9780141182575,"http://covers.openlibrary.org/b/isbn/9780141182575-M.jpg"
"Daniel Keyes","Flowers for Algernon",1966,26,26,"False",,428030,"428k",15511,"16k",4.11,"Most Read","36576608-flowers-for-algernon",216,"[176111, 152715, 76506, 17484, 5214]","English","Man","White","American",,,156030306,9780156030304,"http://books.google.com/books/content?id=NRWlitmahXkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"S.E. Hinton","The Outsiders",1967,36,36,77,77,827348,"827k",29757,"30k",4.08,"Most Shelved and Most Read","231804.The_Outsiders",192,"[343936, 274415, 156620, 39954, 12423]","English","Woman","White","American",,,425288293,9780142407332,"http://books.google.com/books/content?id=QBvcCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Gabriel García Márquez","One Hundred Years of Solitude",1967,,"False",79,79,678054,"678k",26874,"27k",4.06,"Most Shelved","320.One_Hundred_Years_of_Solitude",417,"[320971, 182580, 101370, 42808, 30325]","Spanish","Man","Latinx","Colombian","AP English Recommended Author",,8420471836,9788420471839,"http://books.google.com/books/content?id=gWxlAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"Philip K. Dick","Do Androids Dream of Electric Sheep?",1968,53,53,"False",,302673,"303k",11537,"12k",4.08,"Most Read","36402034-do-androids-dream-of-electric-sheep",258,"[108735, 124916, 56033, 10481, 2508]","English","Man","White","American",,,345404475,9780345404473,"http://books.google.com/books/content?id=3vExWrUnJB0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Kurt Vonnegut","Slaughterhouse-Five",1969,29,29,43,43,1035089,"1M",24228,"24k",4.07,"Most Shelved and Most Read","4981.Slaughterhouse_Five",275,"[433002, 348666, 173860, 51678, 27883]","English","Man","White","American",,"Top 200 College English Syllabi Author",440180295,9780440180296,"http://books.google.com/books/content?id=gFSHD40Y320C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Ursula K. Le Guin","The Left Hand of Darkness",1969,71,71,"False",,102251,"102k",7602,"8k",4.06,"Most Read","18423.The_Left_Hand_of_Darkness",304,"[39193, 38125, 18566, 4820, 1547]","English","Woman","White","American",,,441478123,9780441478125,"http://books.google.com/books/content?id=9B11qVO16OIC&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"Toni Morrison","The Bluest Eye",1970,21,21,"False",,141998,"142k",6641,"7k",4.02,"Most Read","11337.The_Bluest_Eye",216,"[51365, 53517, 27763, 6718, 2635]","English","Woman","Black","American","AP English Recommended Author","Top 200 College English Syllabi Author",307278441,9780307278449,"http://books.google.com/books/content?id=ANKODQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Richard Bach","Jonathan Livingston Seagull",1970,84,84,"False",,180940,"181k",6899,"7k",3.83,"Most Read","71728.Jonathan_Livingston_Seagull",112,"[63053, 53745, 41265, 15864, 7013]","English","Man","White","American",,,8817131628,9788817131629,"http://books.google.com/books/content?id=4ifsNAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"Stephen King","The Shining",1977,42,42,"False",,991149,"991k",19691,"20k",4.21,"Most Read","11588.The_Shining",659,"[473368, 325980, 139015, 32271, 20515]","English","Man","White","American",,"Top 200 College English Syllabi Author",8497593804,9788497593809,"http://books.google.com/books/content?id=-vc8AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"Alice Walker","The Color Purple",1982,55,55,100,100,467743,"468k",12718,"13k",4.2,"Most Shelved and Most Read","11486.The_Color_Purple",295,"[213185, 162615, 69323, 15780, 6840]","English","Woman","Black","American","AP English Recommended Author","Top 200 College English Syllabi Author",143135694,9780143135692,"http://covers.openlibrary.org/b/isbn/9780143135692-M.jpg"
"Margaret Atwood","The Handmaid's Tale",1985,1,1,61,61,1181201,"1M",59562,"60k",4.1,"Most Shelved and Most Read","38447.The_Handmaid_s_Tale",344,"[489019, 423123, 189268, 53399, 26392]","English","Woman","White","Canadian","AP English Recommended Author","Top 200 College English Syllabi Author"," 038549081X"," 9780385490818","https://images-na.ssl-images-amazon.com/images/I/71mfL5OGNNL.jpg"
"Gary Paulsen","Hatchet",1986,72,72,"False",,273262,"273k",13019,"13k",3.71,"Most Read","50.Hatchet",208,"[79447, 87032, 68004, 25202, 13577]","English","Man","White","American",,,1416936475,9781416936473,"http://books.google.com/books/content?id=52hYAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Paulo Coelho","The Alchemist",1988,3,3,"False",,1808108,"2M",70130,"70k",3.85,"Most Read","18144590-the-alchemist",182,"[674954, 528761, 361476, 151889, 91028]","Portuguese","Man","White","Brazilian",,,61122416,9780061122415,"http://books.google.com/books/content?id=pTr44Sx6oWQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Roald Dahl","Matilda",1988,33,33,"False",,537946,"538k",14293,"14k",4.3,"Most Read","39988.Matilda",240,"[275241, 173797, 71646, 12068, 5194]","English","Man","White","British",,,142410373,9780142410370,"http://covers.openlibrary.org/b/isbn/9780142410370-M.jpg"
"Laura Esquivel","Like Water for Chocolate",1989,100,100,"False",,310020,"310k",8173,"8k",3.94,"Most Read","6952.Like_Water_for_Chocolate",224,"[109782, 108994, 64894, 17068, 9282]","Spanish","Woman","Latinx","Mexican",,,385721234,9780385721233,"http://books.google.com/books/content?id=YtFvTgy9QAwC&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"Tim O'Brien","The Things They Carried",1990,73,73,"False",,230690,"231k",13032,"13k",4.13,"Most Read","133518.The_Things_They_Carried",246,"[97615, 82084, 37479, 9956, 3556]","English","Man","White","American",,"Top 200 College English Syllabi Author",618706410,9780618706419,"https://books.google.com/books/content?id=dEmrDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"Lois Lowry","The Giver",1993,,"False",87,87,1577126,"2M",61653,"62k",4.12,"Most Shelved","3636.The_Giver",208,"[688676, 526926, 261971, 69091, 30462]","English","Woman","White","American",,,544336267,9780544336261,"https://images-na.ssl-images-amazon.com/images/I/91pGNyqd5gL.jpg"
"Mitch Albom","Tuesdays with Morrie",1997,28,28,"False",,702068,"702k",23054,"23k",4.1,"Most Read","6900.Tuesdays_with_Morrie",210,"[300546, 230289, 123019, 34766, 13448]","English","Man","White","American",,,385484518,9780767905923,"http://books.google.com/books/content?id=1nSgwQZXQOsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Mitch Albom","The Five People You Meet in Heaven",2003,86,86,"False",,534984,"535k",19066,"19k",3.92,"Most Read","3431.The_Five_People_You_Meet_in_Heaven",196,"[190760, 175922, 118409, 36379, 13514]","English","Man","White","American",,,786868716,9780786868711,"http://covers.openlibrary.org/b/isbn/9780786868711-M.jpg"
